time,open,high,low,close,volumeto,coin
2024-03-14,0.7646,0.81,0.7134,0.7505,89071610.07,ada
2024-03-15,0.7505,0.7638,0.671,0.7273,59106882.5,ada
2024-03-16,0.7273,0.7346,0.6504,0.6586,37163429.78,ada
2024-03-17,0.6586,0.6947,0.6288,0.6808,37728922.38,ada
2024-03-18,0.6808,0.6985,0.6422,0.6603,35240932.97,ada
2024-03-19,0.6603,0.6657,0.58,0.5862,55076485.86,ada
2024-03-20,0.5862,0.6445,0.5691,0.6398,43691865.34,ada
2024-03-21,0.6398,0.6481,0.6178,0.6316,26239068.02,ada
2024-03-22,0.6316,0.6425,0.5991,0.6148,24001658.74,ada
2024-03-23,0.6148,0.6393,0.6105,0.6231,12814566.44,ada
2024-03-24,0.6231,0.6481,0.6226,0.6466,14588416.08,ada
2024-03-25,0.6466,0.6682,0.6384,0.6566,28326253.44,ada
2024-03-26,0.6566,0.6837,0.6517,0.665,28488681.21,ada
2024-03-27,0.665,0.6709,0.6301,0.6476,44999624.86,ada
2024-03-28,0.6476,0.6581,0.635,0.651,20927960.89,ada
2024-03-29,0.651,0.6677,0.6353,0.6645,27010427.68,ada
2024-03-30,0.6645,0.6696,0.642,0.6439,16615097.59,ada
2024-03-31,0.6439,0.6536,0.6421,0.65,12889187.95,ada
2024-01-01,42280.14,44210.89,42187.32,44197.61,839894208.67,btc
2024-01-02,44197.61,45918.98,44181.86,44970.34,2596745174.99,btc
2024-01-03,44970.34,45513.73,40214.67,42854.08,3533041051.83,btc
2024-01-04,42854.08,44797.03,42657.44,44194.38,2167748750.23,btc
2024-01-05,44194.38,44377.15,42508.08,44178.89,2368276569.22,btc
2024-01-06,44178.89,44248.4,43444.9,43988.33,717065469.35,btc
2024-01-07,43988.33,44496.47,43639.57,43950.84,884154712.5,btc
2024-01-08,43950.84,47295.94,43209.8,46988.14,3000303504.99,btc
2024-01-09,46988.14,47923.17,44889.64,46123.0,3083632967.78,btc
2024-01-10,46123.0,47705.84,44326.32,46667.48,3677964834.63,btc
2024-01-11,46667.48,49054.05,45580.11,46353.15,3638877778.74,btc
2024-01-12,46353.15,46512.17,41454.57,42776.42,3855256978.62,btc
2024-01-13,42776.42,43243.47,42438.36,42839.19,986309535.03,btc
2024-01-14,42839.19,43060.49,41702.53,41704.39,924871801.97,btc
2024-01-15,41704.39,43325.88,41687.69,42491.26,1046074902.52,btc
2024-01-16,42491.26,43562.19,42047.82,43130.88,1565259395.93,btc
2024-01-17,43130.88,43183.19,42172.64,42739.27,1403011843.2,btc
2024-01-18,42739.27,42876.35,40606.86,41286.68,1885882508.36,btc
2024-01-19,41286.68,42151.57,40246.58,41625.47,1864062474.18,btc
2024-01-20,41625.47,41846.45,41433.27,41677.08,544668570.57,btc
2024-01-21,41677.08,41862.83,41493.59,41570.17,382561229.54,btc
2024-01-22,41570.17,41669.9,39396.81,39523.63,2270442343.15,btc
2024-01-23,39523.63,40136.09,38512.34,39876.44,1805745649.27,btc
2024-01-24,39876.44,40526.25,39429.31,40078.62,1476062916.95,btc
2024-01-25,40078.62,40280.91,39523.94,39941.74,1164224625.52,btc
2024-01-26,39941.74,42227.71,39814.87,41816.55,1763833855.75,btc
2024-01-27,41816.55,42191.83,41393.22,42124.02,444567824.09,btc
2024-01-28,42124.02,42822.8,41632.18,42028.92,702267432.76,btc
2024-01-29,42028.92,43308.42,41804.05,43302.28,1184671101.99,btc
2024-01-30,43302.28,43855.77,42690.4,42943.64,1498626265.1,btc
2024-01-31,42943.64,43734.38,42276.82,42555.08,1695950546.73,btc
2024-02-01,42555.08,43267.39,41855.88,43073.2,1234469121.23,btc
2024-02-02,43073.2,43452.76,42536.21,43181.71,1152442855.72,btc
2024-02-03,43181.71,43355.76,42874.37,42999.52,325725942.96,btc
2024-02-04,42999.52,43093.79,42232.02,42570.21,410404369.06,btc
2024-02-05,42570.21,43518.7,41931.59,42664.56,1062866796.14,btc
2024-02-06,42664.56,43360.05,42526.92,43091.51,966265875.57,btc
2024-02-07,43091.51,44402.0,42766.8,44339.04,1319628672.43,btc
2024-02-08,44339.04,45622.13,44333.87,45304.61,1785332802.43,btc
2024-02-09,45304.61,48208.27,45257.22,47154.23,2379925849.32,btc
2024-02-10,47154.23,48166.14,46894.61,47768.12,780554926.36,btc
2024-02-11,47768.12,48597.46,47592.04,48311.16,956986637.1,btc
2024-02-12,48311.16,50339.2,47718.59,49942.97,2319184140.26,btc
2024-02-13,49942.97,50392.92,48336.83,49733.11,2075339722.8,btc
2024-02-14,49733.11,52085.66,49272.58,51844.19,2252886326.88,btc
2024-02-15,51844.19,52845.45,51357.81,51934.57,2239765884.49,btc
2024-02-16,51934.57,52598.05,51604.88,52163.28,1680749372.19,btc
2024-02-17,52163.28,52201.89,50647.34,51668.78,910308869.83,btc
2024-02-18,51668.78,52393.59,51194.3,52139.33,762533081.81,btc
2024-02-19,52139.33,52487.6,51691.25,51781.22,989270690.85,btc
2024-02-20,51781.22,52985.95,50766.77,52269.59,2050493239.79,btc
2024-02-21,52269.59,52375.42,50633.49,51854.36,1676374071.14,btc
2024-02-22,51854.36,52056.01,50914.97,51263.67,1573393306.75,btc
2024-02-23,51263.67,51509.58,50523.07,50744.07,1345274652.99,btc
